cardDistance	cardScale	filmDistance	apertureDiameter	chromaticAberration	diffraction
-0.2		0.1		50		50			0			0
-1		0.5		50		50			0			0
-5		2.5		50		50			0			0
-10		5		50		50			0			0
-0.2		0.1		66.6667		50			0			0
-1		0.5		52.6316		50			0			0
-5		2.5		50.5051		50			0			0
-10		5		50.0003		50			0			0
-0.2		0.1		50		0.1			0			0
-1		0.5		50		0.1			0			0
-5		2.5		50		0.1			0			0
-10		5		50		0.1			0			0
-0.2		0.1		66.6667		0.1			0			0
-1		0.5		52.6316		0.1			0			0
-5		2.5		50.5051		0.1			0			0
-10		5		50.0003		0.1			0			0
%
-0.2		0.1		50		50			1			0
-1		0.5		50		50			1			0
-5		2.5		50		50			1			0
-10		5		50		50			1			0
-0.2		0.1		66.6667		50			1			0
-1		0.5		52.6316		50			1			0
-5		2.5		50.5051		50			1			0
-10		5		50.0003		50			1			0
-0.2		0.1		50		0.1			1			0
-1		0.5		50		0.1			1			0
-5		2.5		50		0.1			1			0
-10		5		50		0.1			1			0
-0.2		0.1		66.6667		0.1			1			0
-1		0.5		52.6316		0.1			1			0
-5		2.5		50.5051		0.1			1			0
-10		5		50.0003		0.1			1			0
%
-0.2		0.1		50		50			0			1
-1		0.5		50		50			0			1
-5		2.5		50		50			0			1
-10		5		50		50			0			1
-0.2		0.1		66.6667		50			0			1
-1		0.5		52.6316		50			0			1
-5		2.5		50.5051		50			0			1
-10		5		50.0003		50			0			1
-0.2		0.1		50		0.1			0			1
-1		0.5		50		0.1			0			1
-5		2.5		50		0.1			0			1
-10		5		50		0.1			0			1
-0.2		0.1		66.6667		0.1			0			1
-1		0.5		52.6316		0.1			0			1
-5		2.5		50.5051		0.1			0			1
-10		5		50.0003		0.1			0			1
%
-0.2		0.1		50		50			1			1
-1		0.5		50		50			1			1
-5		2.5		50		50			1			1
-10		5		50		50			1			1
-0.2		0.1		66.6667		50			1			1
-1		0.5		52.6316		50			1			1
-5		2.5		50.5051		50			1			1
-10		5		50.0003		50			1			1
-0.2		0.1		50		0.1			1			1
-1		0.5		50		0.1			1			1
-5		2.5		50		0.1			1			1
-10		5		50		0.1			1			1
-0.2		0.1		66.6667		0.1			1			1
-1		0.5		52.6316		0.1			1			1
-5		2.5		50.5051		0.1			1			1
-10		5		50.0003		0.1			1			1
