cardDistance	cardScale	filmDistance	apertureDiameter	chromaticAberration	diffraction
-0.2		0.1		52.6316		10			0			0
-1		0.5		52.6316		10			0			0
-5		2.5		52.6316		10			0			0
-10		5		52.6316		10			0			0
-0.2		0.1		69.2983		10			0			0
-1		0.5		55.2632		10			0			0
-5		2.5		53.1367		10			0			0
-10		5		52.6319		10			0			0
-0.2		0.1		52.6316		1			0			0
-1		0.5		52.6316		1			0			0
-5		2.5		52.6316		1			0			0
-10		5		52.6316		1			0			0
-0.2		0.1		69.2983		1			0			0
-1		0.5		55.2632		1			0			0
-5		2.5		53.1367		1			0			0
-10		5		52.6319		1			0			0
%
-0.2		0.1		52.6316		10			1			0
-1		0.5		52.6316		10			1			0
-5		2.5		52.6316		10			1			0
-10		5		52.6316		10			1			0
-0.2		0.1		69.2983		10			1			0
-1		0.5		55.2632		10			1			0
-5		2.5		53.1367		10			1			0
-10		5		52.6319		10			1			0
-0.2		0.1		52.6316		1			1			0
-1		0.5		52.6316		1			1			0
-5		2.5		52.6316		1			1			0
-10		5		52.6316		1			1			0
-0.2		0.1		69.2983		1			1			0
-1		0.5		55.2632		1			1			0
-5		2.5		53.1367		1			1			0
-10		5		52.6319		1			1			0
%
-0.2		0.1		52.6316		10			0			1
-1		0.5		52.6316		10			0			1
-5		2.5		52.6316		10			0			1
-10		5		52.6316		10			0			1
-0.2		0.1		69.2983		10			0			1
-1		0.5		55.2632		10			0			1
-5		2.5		53.1367		10			0			1
-10		5		52.6319		10			0			1
-0.2		0.1		52.6316		1			0			1
-1		0.5		52.6316		1			0			1
-5		2.5		52.6316		1			0			1
-10		5		52.6316		1			0			1
-0.2		0.1		69.2983		1			0			1
-1		0.5		55.2632		1			0			1
-5		2.5		53.1367		1			0			1
-10		5		52.6319		1			0			1
%
-0.2		0.1		52.6316		10			1			1
-1		0.5		52.6316		10			1			1
-5		2.5		52.6316		10			1			1
-10		5		52.6316		10			1			1
-0.2		0.1		69.2983		10			1			1
-1		0.5		55.2632		10			1			1
-5		2.5		53.1367		10			1			1
-10		5		52.6319		10			1			1
-0.2		0.1		52.6316		1			1			1
-1		0.5		52.6316		1			1			1
-5		2.5		52.6316		1			1			1
-10		5		52.6316		1			1			1
-0.2		0.1		69.2983		1			1			1
-1		0.5		55.2632		1			1			1
-5		2.5		53.1367		1			1			1
-10		5		52.6319		1			1			1
